id,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道,不知道
90901,1,2030,610,924,1073|1431|2146|2861|4292,1015,406,2030,25,30,20,20,200
90902,1,2233,610,924,1073|1431|2146|2861|4292,1116,446,2233,25,30,20,20,200
90903,1,2436,610,924,1073|1431|2146|2861|4292,1218,487,2436,25,30,20,20,200
90904,1,3045,610,924,1073|1431|2146|2861|4292,1522,609,3045,25,30,20,20,200
90911,1,1660,580,878,1003|1337|2006|2675|4012,830,332,1660,25,30,20,20,200
90912,1,1826,580,878,1003|1337|2006|2675|4012,913,365,1826,25,30,20,20,200
90913,1,1992,580,878,1003|1337|2006|2675|4012,996,398,1992,25,30,20,20,200
90914,1,2490,580,878,1003|1337|2006|2675|4012,1245,498,2490,25,30,20,20,200
90921,1,2140,640,974,1153|1537|2306|3075|4612,1070,428,2140,25,30,20,20,200
90922,1,2354,640,974,1153|1537|2306|3075|4612,1177,470,2354,25,30,20,20,200
90923,1,2568,640,974,1153|1537|2306|3075|4612,1284,513,2568,25,30,20,20,200
90924,1,3210,640,974,1153|1537|2306|3075|4612,1605,642,3210,25,30,20,20,200
90931,2,520,180,274,208|277|416|555|832,260,104,520,20,24,16,30,133
90932,2,572,180,274,208|277|416|555|832,286,114,572,20,24,16,30,133
90933,2,624,180,274,208|277|416|555|832,312,124,624,20,24,16,30,133
90934,2,780,180,274,208|277|416|555|832,390,156,780,20,24,16,30,133
90941,2,470,180,280,210|281|421|561|842,235,94,470,20,24,16,30,133
90942,2,517,180,280,210|281|421|561|842,258,103,517,20,24,16,30,133
90943,2,564,180,280,210|281|421|561|842,282,112,564,20,24,16,30,133
90944,2,705,180,280,210|281|421|561|842,352,141,705,20,24,16,30,133
90951,2,580,230,345,336|449|673|897|1346,290,116,580,20,24,16,30,133
90952,2,638,230,345,336|449|673|897|1346,319,127,638,20,24,16,30,133
90953,2,696,230,345,336|449|673|897|1346,348,139,696,20,24,16,30,133
90954,2,870,230,345,336|449|673|897|1346,435,174,870,20,24,16,30,133
90961,2,350,140,210,191|254|382|509|763,175,70,350,20,24,16,30,133
90962,2,385,140,210,191|254|382|509|763,192,77,385,20,24,16,30,133
90963,2,420,140,210,191|254|382|509|763,210,84,420,20,24,16,30,133
90964,2,525,140,210,191|254|382|509|763,262,105,525,20,24,16,30,133
90971,3,510,170,255,204|272|408|544|816,255,102,510,20,24,16,30,133
90972,3,561,170,255,204|272|408|544|816,280,112,561,20,24,16,30,133
90973,3,612,170,255,204|272|408|544|816,306,122,612,20,24,16,30,133
90974,3,765,170,255,204|272|408|544|816,382,153,765,20,24,16,30,133
90981,3,1580,500,755,793|1057|1585|2113|3170,790,316,1580,25,30,20,20,200
90982,3,1738,500,755,793|1057|1585|2113|3170,869,347,1738,25,30,20,20,200
90983,3,1896,500,755,793|1057|1585|2113|3170,948,379,1896,25,30,20,20,200
90984,3,2370,500,755,793|1057|1585|2113|3170,1185,474,2370,25,30,20,20,200
90991,3,530,180,280,213|284|426|567|851,265,106,530,20,24,16,30,133
90992,3,583,180,280,213|284|426|567|851,291,116,583,20,24,16,30,133
90993,3,636,180,280,213|284|426|567|851,318,127,636,20,24,16,30,133
90994,3,795,180,280,213|284|426|567|851,397,159,795,20,24,16,30,133
91001,3,2040,650,975,1024|1365|2047|2729|4094,1020,408,2040,25,30,20,20,200
91002,3,2244,650,975,1024|1365|2047|2729|4094,1122,448,2244,25,30,20,20,200
91003,3,2448,650,975,1024|1365|2047|2729|4094,1224,489,2448,25,30,20,20,200
91004,3,3060,650,975,1024|1365|2047|2729|4094,1530,612,3060,25,30,20,20,200
91011,3,2350,780,1175,1425|1900|2850|3800|5700,1175,470,2350,25,30,20,20,200
91012,3,2585,780,1175,1425|1900|2850|3800|5700,1292,517,2585,25,30,20,20,200
91013,3,2820,780,1175,1425|1900|2850|3800|5700,1410,564,2820,25,30,20,20,200
91014,3,3525,780,1175,1425|1900|2850|3800|5700,1762,705,3525,25,30,20,20,200
91021,4,540,180,270,222|296|444|592|888,270,108,540,20,24,16,30,133
91022,4,594,180,270,222|296|444|592|888,297,118,594,20,24,16,30,133
91023,4,648,180,270,222|296|444|592|888,324,129,648,20,24,16,30,133
91024,4,810,180,270,222|296|444|592|888,405,162,810,20,24,16,30,133
91031,4,450,170,265,252|336|504|672|1008,225,90,450,20,24,16,30,133
91032,4,495,170,265,252|336|504|672|1008,247,99,495,20,24,16,30,133
91033,4,540,170,265,252|336|504|672|1008,270,108,540,20,24,16,30,133
91034,4,675,170,265,252|336|504|672|1008,337,135,675,20,24,16,30,133
91041,4,2350,710,1070,1202|1603|2404|3205|4808,1175,470,2350,25,30,20,20,200
91042,4,2585,710,1070,1202|1603|2404|3205|4808,1292,517,2585,25,30,20,20,200
91043,4,2820,710,1070,1202|1603|2404|3205|4808,1410,564,2820,25,30,20,20,200
91044,4,3525,710,1070,1202|1603|2404|3205|4808,1762,705,3525,25,30,20,20,200
91051,2,2130,640,972,1165|1553|2330|3107|4660,1065,426,2130,25,30,20,20,200
91052,2,2343,640,972,1165|1553|2330|3107|4660,1171,468,2343,25,30,20,20,200
91053,2,2556,640,972,1165|1553|2330|3107|4660,1278,511,2556,25,30,20,20,200
91054,2,3195,640,972,1165|1553|2330|3107|4660,1597,639,3195,25,30,20,20,200
91061,2,2520,880,1330,1444|1925|2887|3849|5774,1260,504,2520,25,30,20,20,200
91062,2,2772,880,1330,1444|1925|2887|3849|5774,1386,554,2772,25,30,20,20,200
91063,2,3024,880,1330,1444|1925|2887|3849|5774,1512,604,3024,25,30,20,20,200
91064,2,3780,880,1330,1444|1925|2887|3849|5774,1890,756,3780,25,30,20,20,200
91071,2,530,180,282,214|285|428|571|856,265,106,530,20,24,16,30,133
91072,2,583,180,282,214|285|428|571|856,291,116,583,20,24,16,30,133
91073,2,636,180,282,214|285|428|571|856,318,127,636,20,24,16,30,133
91074,2,795,180,282,214|285|428|571|856,397,159,795,20,24,16,30,133
91081,4,1860,650,984,1185|1579|2369|3159|4738,930,372,1860,25,30,20,20,200
91082,4,2046,650,984,1185|1579|2369|3159|4738,1023,409,2046,25,30,20,20,200
91083,4,2232,650,984,1185|1579|2369|3159|4738,1116,446,2232,25,30,20,20,200
91084,4,2790,650,984,1185|1579|2369|3159|4738,1395,558,2790,25,30,20,20,200
91091,2,300,120,190,91|122|182|243|365,150,60,300,15,18,12,35,114
91092,2,330,120,190,91|122|182|243|365,165,66,330,15,18,12,35,114
91093,2,360,120,190,91|122|182|243|365,180,72,360,15,18,12,35,114
91094,2,450,120,190,91|122|182|243|365,225,90,450,15,18,12,35,114
91101,3,2000,600,910,1251|1668|2502|3336|5004,1000,400,2000,25,30,20,20,200
91102,3,2200,600,910,1251|1668|2502|3336|5004,1100,440,2200,25,30,20,20,200
91103,3,2400,600,910,1251|1668|2502|3336|5004,1200,480,2400,25,30,20,20,200
91104,3,3000,600,910,1251|1668|2502|3336|5004,1500,600,3000,25,30,20,20,200
91111,3,2570,810,1225,1536|2048|3072|4096|6144,1285,514,2570,25,30,20,20,200
91112,3,2827,810,1225,1536|2048|3072|4096|6144,1413,565,2827,25,30,20,20,200
91113,3,3084,810,1225,1536|2048|3072|4096|6144,1542,616,3084,25,30,20,20,200
91114,3,3855,810,1225,1536|2048|3072|4096|6144,1927,771,3855,25,30,20,20,200
91121,3,1840,560,840,1174|1565|2348|3131|4696,920,368,1840,25,30,20,20,200
91122,3,2024,560,840,1174|1565|2348|3131|4696,1012,404,2024,25,30,20,20,200
91123,3,2208,560,840,1174|1565|2348|3131|4696,1104,441,2208,25,30,20,20,200
91124,3,2760,560,840,1174|1565|2348|3131|4696,1380,552,2760,25,30,20,20,200
91131,3,540,200,305,220|293|439|586|878,270,108,540,20,24,16,30,133
91132,3,594,200,305,220|293|439|586|878,297,118,594,20,24,16,30,133
91133,3,648,200,305,220|293|439|586|878,324,129,648,20,24,16,30,133
91134,3,810,200,305,220|293|439|586|878,405,162,810,20,24,16,30,133
91141,3,2040,680,1020,1020|1360|2040|2720|4080,1020,408,2040,25,30,20,20,200
91142,3,2244,680,1020,1020|1360|2040|2720|4080,1122,448,2244,25,30,20,20,200
91143,3,2448,680,1020,1020|1360|2040|2720|4080,1224,489,2448,25,30,20,20,200
91144,3,3060,680,1020,1020|1360|2040|2720|4080,1530,612,3060,25,30,20,20,200
91151,4,630,240,373,292|389|583|778|1166,315,126,630,15,18,12,35,114
91152,4,693,240,373,292|389|583|778|1166,346,138,693,15,18,12,35,114
91153,4,756,240,373,292|389|583|778|1166,378,151,756,15,18,12,35,114
91154,4,945,240,373,292|389|583|778|1166,472,189,945,15,18,12,35,114
91161,3,870,300,463,523|697|1046|1394|2091,435,174,870,20,24,16,30,133
91162,3,957,300,463,523|697|1046|1394|2091,478,191,957,20,24,16,30,133
91163,3,1044,300,463,523|697|1046|1394|2091,522,208,1044,20,24,16,30,133
91164,3,1305,300,463,523|697|1046|1394|2091,652,261,1305,20,24,16,30,133
91171,3,1860,650,980,1181|1575|2362|3149|4724,930,372,1860,25,30,20,20,200
91172,3,2046,650,980,1181|1575|2362|3149|4724,1023,409,2046,25,30,20,20,200
91173,3,2232,650,980,1181|1575|2362|3149|4724,1116,446,2232,25,30,20,20,200
91174,3,2790,650,980,1181|1575|2362|3149|4724,1395,558,2790,25,30,20,20,200
91181,4,630,210,315,252|336|504|672|1008,315,126,630,20,24,16,30,133
91182,4,693,210,315,252|336|504|672|1008,346,138,693,20,24,16,30,133
91183,4,756,210,315,252|336|504|672|1008,378,151,756,20,24,16,30,133
91184,4,945,210,315,252|336|504|672|1008,472,189,945,20,24,16,30,133
91191,4,510,190,285,301|402|602|803|1205,255,102,510,20,24,16,30,133
91192,4,561,190,285,301|402|602|803|1205,280,112,561,20,24,16,30,133
91193,4,612,190,285,301|402|602|803|1205,306,122,612,20,24,16,30,133
91194,4,765,190,285,301|402|602|803|1205,382,153,765,20,24,16,30,133
91201,2,1730,570,865,1115|1487|2230|2973|4460,865,346,1730,25,30,20,20,200
91202,2,1903,570,865,1115|1487|2230|2973|4460,951,380,1903,25,30,20,20,200
91203,2,2076,570,865,1115|1487|2230|2973|4460,1038,415,2076,25,30,20,20,200
91204,2,2595,570,865,1115|1487|2230|2973|4460,1297,519,2595,25,30,20,20,200
91211,2,3600,1140,1715,2051|2734|4101|5468|8202,1800,720,3600,25,30,20,20,200
91212,2,3960,1140,1715,2051|2734|4101|5468|8202,1980,792,3960,25,30,20,20,200
91213,2,4320,1140,1715,2051|2734|4101|5468|8202,2160,864,4320,25,30,20,20,200
91214,2,5400,1140,1715,2051|2734|4101|5468|8202,2700,1080,5400,25,30,20,20,200
91221,4,2220,780,1170,1362|1815|2723|3631|5446,1110,444,2220,25,30,20,20,200
91222,4,2442,780,1170,1362|1815|2723|3631|5446,1221,488,2442,25,30,20,20,200
91223,4,2664,780,1170,1362|1815|2723|3631|5446,1332,532,2664,25,30,20,20,200
91224,4,3330,780,1170,1362|1815|2723|3631|5446,1665,666,3330,25,30,20,20,200
91231,4,610,240,360,281|374|562|749|1123,305,122,610,20,24,16,30,133
91232,4,671,240,360,281|374|562|749|1123,335,134,671,20,24,16,30,133
91233,4,732,240,360,281|374|562|749|1123,366,146,732,20,24,16,30,133
91234,4,915,240,360,281|374|562|749|1123,457,183,915,20,24,16,30,133
91241,4,2600,860,1300,1550|2067|3100|4133|6200,1300,520,2600,25,30,20,20,200
91242,4,2860,860,1300,1550|2067|3100|4133|6200,1430,572,2860,25,30,20,20,200
91243,4,3120,860,1300,1550|2067|3100|4133|6200,1560,624,3120,25,30,20,20,200
91244,4,3900,860,1300,1550|2067|3100|4133|6200,1950,780,3900,25,30,20,20,200
91251,4,1320,420,630,842|1122|1683|2244|3366,660,264,1320,25,30,20,20,200
91252,4,1452,420,630,842|1122|1683|2244|3366,726,290,1452,25,30,20,20,200
91253,4,1584,420,630,842|1122|1683|2244|3366,792,316,1584,25,30,20,20,200
91254,4,1980,420,630,842|1122|1683|2244|3366,990,396,1980,25,30,20,20,200
91261,2,120,50,82,39|52|78|104|156,60,24,120,10,12,8,40,100
91262,2,132,50,82,39|52|78|104|156,66,26,132,10,12,8,40,100
91263,2,144,50,82,39|52|78|104|156,72,28,144,10,12,8,40,100
91264,2,180,50,82,39|52|78|104|156,90,36,180,10,12,8,40,100
91271,1,740,290,438,352|469|703|938|1406,370,148,740,15,18,12,35,114
91272,1,814,290,438,352|469|703|938|1406,407,162,814,15,18,12,35,114
91273,1,888,290,438,352|469|703|938|1406,444,177,888,15,18,12,35,114
91274,1,1110,290,438,352|469|703|938|1406,555,222,1110,15,18,12,35,114
91281,2,110,60,92,30|40|60|81|121,55,22,110,10,12,8,40,100
91282,2,121,60,92,30|40|60|81|121,60,24,121,10,12,8,40,100
91283,2,132,60,92,30|40|60|81|121,66,26,132,10,12,8,40,100
91284,2,165,60,92,30|40|60|81|121,82,33,165,10,12,8,40,100
91291,1,2280,720,1090,1395|1859|2789|3719|5578,1140,456,2280,25,30,20,20,200
91292,1,2508,720,1090,1395|1859|2789|3719|5578,1254,501,2508,25,30,20,20,200
91293,1,2736,720,1090,1395|1859|2789|3719|5578,1368,547,2736,25,30,20,20,200
91294,1,3420,720,1090,1395|1859|2789|3719|5578,1710,684,3420,25,30,20,20,200
91301,1,2450,860,1290,1476|1967|2951|3935|5902,1225,490,2450,25,30,20,20,200
91302,1,2695,860,1290,1476|1967|2951|3935|5902,1347,539,2695,25,30,20,20,200
91303,1,2940,860,1290,1476|1967|2951|3935|5902,1470,588,2940,25,30,20,20,200
91304,1,3675,860,1290,1476|1967|2951|3935|5902,1837,735,3675,25,30,20,20,200
91311,1,130,60,102,47|62|94|125|187,65,26,130,10,12,8,40,100
91312,1,143,60,102,47|62|94|125|187,71,28,143,10,12,8,40,100
91313,1,156,60,102,47|62|94|125|187,78,31,156,10,12,8,40,100
91314,1,195,60,102,47|62|94|125|187,97,39,195,10,12,8,40,100
91321,1,2080,660,992,1292|1722|2583|3444|5166,1040,416,2080,25,30,20,20,200
91322,1,2288,660,992,1292|1722|2583|3444|5166,1144,457,2288,25,30,20,20,200
91323,1,2496,660,992,1292|1722|2583|3444|5166,1248,499,2496,25,30,20,20,200
91324,1,3120,660,992,1292|1722|2583|3444|5166,1560,624,3120,25,30,20,20,200
91331,2,340,130,204,165|220|330|440|660,170,68,340,15,18,12,35,114
91332,2,374,130,204,165|220|330|440|660,187,74,374,15,18,12,35,114
91333,2,408,130,204,165|220|330|440|660,204,81,408,15,18,12,35,114
91334,2,510,130,204,165|220|330|440|660,255,102,510,15,18,12,35,114
91341,1,550,230,348,271|362|542|723|1085,275,110,550,15,18,12,35,114
91342,1,605,230,348,271|362|542|723|1085,302,121,605,15,18,12,35,114
91343,1,660,230,348,271|362|542|723|1085,330,132,660,15,18,12,35,114
91344,1,825,230,348,271|362|542|723|1085,412,165,825,15,18,12,35,114
91351,4,120,60,92,44|59|88|117|176,60,24,120,10,12,8,40,100
91352,4,132,60,92,44|59|88|117|176,66,26,132,10,12,8,40,100
91353,4,144,60,92,44|59|88|117|176,72,28,144,10,12,8,40,100
91354,4,180,60,92,44|59|88|117|176,90,36,180,10,12,8,40,100
91361,5,120,50,87,42|55|83|111|166,60,24,120,10,12,8,40,100
91362,5,132,50,87,42|55|83|111|166,66,26,132,10,12,8,40,100
91363,5,144,50,87,42|55|83|111|166,72,28,144,10,12,8,40,100
91364,5,180,50,87,42|55|83|111|166,90,36,180,10,12,8,40,100
91371,4,740,270,413,462|617|925|1233|1850,370,148,740,20,24,16,30,133
91372,4,814,270,413,462|617|925|1233|1850,407,162,814,20,24,16,30,133
91373,4,888,270,413,462|617|925|1233|1850,444,177,888,20,24,16,30,133
91374,4,1110,270,413,462|617|925|1233|1850,555,222,1110,20,24,16,30,133
91381,3,1100,380,580,641|854|1282|1709|2563,550,220,1100,20,24,16,30,133
91382,3,1210,380,580,641|854|1282|1709|2563,605,242,1210,20,24,16,30,133
91383,3,1320,380,580,641|854|1282|1709|2563,660,264,1320,20,24,16,30,133
91384,3,1650,380,580,641|854|1282|1709|2563,825,330,1650,20,24,16,30,133
91391,3,3530,1070,1608,2019|2691|4037|5383|8074,1765,706,3530,25,30,20,20,200
91392,3,3883,1070,1608,2019|2691|4037|5383|8074,1941,776,3883,25,30,20,20,200
91393,3,4236,1070,1608,2019|2691|4037|5383|8074,2118,847,4236,25,30,20,20,200
91394,3,5295,1070,1608,2019|2691|4037|5383|8074,2647,1059,5295,25,30,20,20,200
91401,3,850,290,448,520|693|1039|1386|2078,425,170,850,20,24,16,30,133
91402,3,935,290,448,520|693|1039|1386|2078,467,187,935,20,24,16,30,133
91403,3,1020,290,448,520|693|1039|1386|2078,510,204,1020,20,24,16,30,133
91404,3,1275,290,448,520|693|1039|1386|2078,637,255,1275,20,24,16,30,133
91411,1,3580,1190,1790,2040|2720|4080|5440|8160,1790,716,3580,25,30,20,20,200
91412,1,3938,1190,1790,2040|2720|4080|5440|8160,1969,787,3938,25,30,20,20,200
91413,1,4296,1190,1790,2040|2720|4080|5440|8160,2148,859,4296,25,30,20,20,200
91414,1,5370,1190,1790,2040|2720|4080|5440|8160,2685,1074,5370,25,30,20,20,200
91421,1,610,240,360,389|518|778|1037|1555,305,122,610,20,24,16,30,133
91422,1,671,240,360,389|518|778|1037|1555,335,134,671,20,24,16,30,133
91423,1,732,240,360,389|518|778|1037|1555,366,146,732,20,24,16,30,133
91424,1,915,240,360,389|518|778|1037|1555,457,183,915,20,24,16,30,133
91431,4,640,240,360,403|538|806|1075|1613,320,128,640,20,24,16,30,133
91432,4,704,240,360,403|538|806|1075|1613,352,140,704,20,24,16,30,133
91433,4,768,240,360,403|538|806|1075|1613,384,153,768,20,24,16,30,133
91434,4,960,240,360,403|538|806|1075|1613,480,192,960,20,24,16,30,133
91441,4,1800,600,900,1150|1533|2300|3067|4600,900,360,1800,25,30,20,20,200
91442,4,1980,600,900,1150|1533|2300|3067|4600,990,396,1980,25,30,20,20,200
91443,4,2160,600,900,1150|1533|2300|3067|4600,1080,432,2160,25,30,20,20,200
91444,4,2700,600,900,1150|1533|2300|3067|4600,1350,540,2700,25,30,20,20,200
91451,4,820,300,458,513|684|1026|1367|2051,410,164,820,20,24,16,30,133
91452,4,902,300,458,513|684|1026|1367|2051,451,180,902,20,24,16,30,133
91453,4,984,300,458,513|684|1026|1367|2051,492,196,984,20,24,16,30,133
91454,4,1230,300,458,513|684|1026|1367|2051,615,246,1230,20,24,16,30,133
91461,4,2280,720,1090,1395|1859|2789|3719|5578,1140,456,2280,25,30,20,20,200
91462,4,2508,720,1090,1395|1859|2789|3719|5578,1254,501,2508,25,30,20,20,200
91463,4,2736,720,1090,1395|1859|2789|3719|5578,1368,547,2736,25,30,20,20,200
91464,4,3420,720,1090,1395|1859|2789|3719|5578,1710,684,3420,25,30,20,20,200
91471,2,530,200,314,339|452|678|903|1355,265,106,530,20,24,16,30,133
91472,2,583,200,314,339|452|678|903|1355,291,116,583,20,24,16,30,133
91473,2,636,200,314,339|452|678|903|1355,318,127,636,20,24,16,30,133
91474,2,795,200,314,339|452|678|903|1355,397,159,795,20,24,16,30,133
91481,4,310,140,212,159|212|318|424|636,155,62,310,15,18,12,35,114
91482,4,341,140,212,159|212|318|424|636,170,68,341,15,18,12,35,114
91483,4,372,140,212,159|212|318|424|636,186,74,372,15,18,12,35,114
91484,4,465,140,212,159|212|318|424|636,232,93,465,15,18,12,35,114
91491,3,2420,800,1210,1460|1947|2920|3893|5840,1210,484,2420,25,30,20,20,200
91492,3,2662,800,1210,1460|1947|2920|3893|5840,1331,532,2662,25,30,20,20,200
91493,3,2904,800,1210,1460|1947|2920|3893|5840,1452,580,2904,25,30,20,20,200
91494,3,3630,800,1210,1460|1947|2920|3893|5840,1815,726,3630,25,30,20,20,200
95001,5,290,145,170,51|68|102|136|204,145,58,290,15,18,12,35,114
95002,5,319,159,170,51|68|102|136|204,159,63,319,15,18,12,35,114
95003,5,348,174,170,51|68|102|136|204,174,69,348,15,18,12,35,114
95004,5,435,217,170,51|68|102|136|204,217,87,435,15,18,12,35,114
95011,5,220,110,130,39|52|78|104|156,110,44,220,15,18,12,35,114
95012,5,242,121,130,39|52|78|104|156,121,48,242,15,18,12,35,114
95013,5,264,132,130,39|52|78|104|156,132,52,264,15,18,12,35,114
95014,5,330,165,130,39|52|78|104|156,165,66,330,15,18,12,35,114
95021,5,250,125,160,48|64|96|128|192,125,50,250,15,18,12,35,114
95022,5,275,137,160,48|64|96|128|192,137,55,275,15,18,12,35,114
95023,5,300,150,160,48|64|96|128|192,150,60,300,15,18,12,35,114
95024,5,375,187,160,48|64|96|128|192,187,75,375,15,18,12,35,114
95031,5,310,155,160,64|85|128|171|256,155,62,310,15,18,12,35,114
95032,5,341,170,160,64|85|128|171|256,170,68,341,15,18,12,35,114
95033,5,372,186,160,64|85|128|171|256,186,74,372,15,18,12,35,114
95034,5,465,232,160,64|85|128|171|256,232,93,465,15,18,12,35,114
95041,5,430,215,210,105|140|210|280|420,215,86,430,15,18,12,35,114
95042,5,473,236,210,105|140|210|280|420,236,94,473,15,18,12,35,114
95043,5,516,258,210,105|140|210|280|420,258,103,516,15,18,12,35,114
95044,5,645,322,210,105|140|210|280|420,322,129,645,15,18,12,35,114
95051,5,580,290,300,150|200|300|400|600,290,116,580,15,18,12,35,114
95052,5,638,319,300,150|200|300|400|600,319,127,638,15,18,12,35,114
95053,5,696,348,300,150|200|300|400|600,348,139,696,15,18,12,35,114
95054,5,870,435,300,150|200|300|400|600,435,174,870,15,18,12,35,114
95061,5,460,230,220,88|117|176|235|352,230,92,460,15,18,12,35,114
95062,5,506,253,220,88|117|176|235|352,253,101,506,15,18,12,35,114
95063,5,552,276,220,88|117|176|235|352,276,110,552,15,18,12,35,114
95064,5,690,345,220,88|117|176|235|352,345,138,690,15,18,12,35,114
95071,5,270,135,160,64|85|128|171|256,135,54,270,15,18,12,35,114
95072,5,297,148,160,64|85|128|171|256,148,59,297,15,18,12,35,114
95073,5,324,162,160,64|85|128|171|256,162,64,324,15,18,12,35,114
95074,5,405,202,160,64|85|128|171|256,202,81,405,15,18,12,35,114
95081,5,580,290,310,155|207|310|413|620,290,116,580,15,18,12,35,114
95082,5,638,319,310,155|207|310|413|620,319,127,638,15,18,12,35,114
95083,5,696,348,310,155|207|310|413|620,348,139,696,15,18,12,35,114
95084,5,870,435,310,155|207|310|413|620,435,174,870,15,18,12,35,114
95091,5,440,220,240,96|128|192|256|384,220,88,440,15,18,12,35,114
95092,5,484,242,240,96|128|192|256|384,242,96,484,15,18,12,35,114
95093,5,528,264,240,96|128|192|256|384,264,105,528,15,18,12,35,114
95094,5,660,330,240,96|128|192|256|384,330,132,660,15,18,12,35,114
95101,5,480,240,250,125|167|250|333|500,240,96,480,15,18,12,35,114
95102,5,528,264,250,125|167|250|333|500,264,105,528,15,18,12,35,114
95103,5,576,288,250,125|167|250|333|500,288,115,576,15,18,12,35,114
95104,5,720,360,250,125|167|250|333|500,360,144,720,15,18,12,35,114
95111,5,290,145,150,45|60|90|120|180,145,58,290,15,18,12,35,114
95112,5,319,159,150,45|60|90|120|180,159,63,319,15,18,12,35,114
95113,5,348,174,150,45|60|90|120|180,174,69,348,15,18,12,35,114
95114,5,435,217,150,45|60|90|120|180,217,87,435,15,18,12,35,114
95121,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95122,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95123,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95124,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95131,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95132,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95133,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95134,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95141,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95142,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95143,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95144,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95151,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95152,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95153,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95154,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95161,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95162,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95163,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95164,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95171,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95172,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95173,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95174,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95181,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95182,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95183,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95184,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95191,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95192,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95193,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95194,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95201,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95202,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95203,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95204,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95211,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95212,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95213,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95214,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95221,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95222,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95223,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95224,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95231,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95232,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95233,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95234,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95241,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95242,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95243,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95244,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95251,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
95252,5,600,150,238,124|165|247|330|494,300,120,600,15,18,12,35,114
95253,5,520,200,310,158|211|316|422|632,260,104,520,15,18,12,35,114
95254,5,572,200,310,158|211|316|422|632,286,114,572,15,18,12,35,114
95261,5,624,200,310,158|211|316|422|632,312,124,624,15,18,12,35,114
95262,5,780,200,310,158|211|316|422|632,390,156,780,15,18,12,35,114
95263,5,480,150,238,124|165|247|330|494,240,96,480,15,18,12,35,114
